Twarde reguły — wersja uporządkowana pod kod aplikacji;;;;;;
hard_rule_id;warunek;minimal_risk_level;dodaj_ostrzezenie;komunikat_dla_uzytkownika;uwagi_dla_AI;status_w_kodzie
HR01;K1 = K1_POZEW_CZLONEK_ZARZADU AND K2 = K2_DAYS_LEFT_0_3;RISK_URGENT;TAK;Na reakcję pozostało bardzo mało czasu. Nie warto odkładać sprawy — najważniejsze jest szybkie potwierdzenie terminu i przygotowanie właściwej reakcji.;"Pozew przeciwko członkowi zarządu i bardzo krótki termin wymagają pilnej weryfikacji. || WARIANT gdy termin JUZ MINAL (app.py ustawia DEADLINE_PASSED=True): ""Z podanych dat wynika, ze termin na reakcje juz uplynal. To nie zawsze zamyka sprawe - w niektorych sytuacjach mozna wnioskowac o przywrocenie terminu albo podjac inne kroki, ale liczy sie kazdy dzien. Skontaktuj sie z nami jak najszybciej."" (04.08.2026 - miniony termin mapuje sie na K2_DAYS_LEFT_0_3, wiec bez tego wariantu raport pisal jednoczesnie 'termin mogl juz uplynac' i 'pozostalo bardzo malo czasu'. Poziom ryzyka bez zmian.)";TAK
HR02;K1 ∈ {K1_NAKAZ_CZLONEK_ZARZADU, K1_WYROK_ZAOCZNY_CZLONEK_ZARZADU} AND K2 = K2_DAYS_LEFT_0_3;RISK_URGENT;TAK;Na reakcję pozostało bardzo mało czasu. Nie warto odkładać sprawy — najważniejsze jest szybkie potwierdzenie terminu i przygotowanie właściwej reakcji.;"Nakaz (lub wyrok zaoczny, ta sama pilność) przeciwko członkowi zarządu z terminem 0–3 dni jest krytyczny. || WARIANT gdy termin JUZ MINAL (app.py ustawia DEADLINE_PASSED=True): ""Z podanych dat wynika, ze termin na reakcje juz uplynal. To nie zawsze zamyka sprawe - w niektorych sytuacjach mozna wnioskowac o przywrocenie terminu albo podjac inne kroki, ale liczy sie kazdy dzien. Skontaktuj sie z nami jak najszybciej."" (04.08.2026 - miniony termin mapuje sie na K2_DAYS_LEFT_0_3, wiec bez tego wariantu raport pisal jednoczesnie 'termin mogl juz uplynac' i 'pozostalo bardzo malo czasu'. Poziom ryzyka bez zmian.)";TAK
HR03;K1 = K1_POZEW_CZLONEK_ZARZADU AND K2 = K2_DAYS_LEFT_4_7;RISK_HIGH;TAK;Czas na reakcję jest ograniczony. Warto działać bez zwłoki: potwierdzić termin, sprawdzić dokument i ustalić najbezpieczniejszy sposób reakcji.;Dokument bezpośrednio przeciwko członkowi zarządu i krótki termin oznaczają co najmniej wysokie ryzyko.;TAK
HR04;K1 ∈ {K1_NAKAZ_CZLONEK_ZARZADU, K1_WYROK_ZAOCZNY_CZLONEK_ZARZADU} AND K2 = K2_DAYS_LEFT_4_7;RISK_HIGH;TAK;Czas na reakcję jest ograniczony. Warto działać bez zwłoki: potwierdzić termin, sprawdzić dokument i ustalić najbezpieczniejszy sposób reakcji.;Nakaz (lub wyrok zaoczny, ta sama pilność) przeciwko członkowi zarządu i termin 4–7 dni oznaczają co najmniej wysokie ryzyko.;TAK
HR05;K2 = K2_DAYS_LEFT_UNKNOWN AND dokument_glowny_zawiera_termin = TAK;RISK_MEDIUM;TAK;Nie udało się jednoznacznie ustalić terminu reakcji. W pierwszej kolejności trzeba sprawdzić datę doręczenia, treść pouczenia i sposób liczenia terminu.;Brak odczytu terminu nie może obniżać oceny. Trzeba zachować ostrożność.;CZESCIOWO — wymaga OCR
HR06;EPU = TAK AND K2 = K2_DAYS_LEFT_0_3;RISK_URGENT;TAK;Dokument może pochodzić z EPU / e-Sądu, a czas na reakcję jest bardzo krótki. Przy tak krótkim terminie trzeba przede wszystkim zachować termin i prawidłowo oznaczyć nakaz albo pismo.;"EPU z bardzo krótkim terminem wymaga natychmiastowej weryfikacji. || WARIANT gdy termin JUZ MINAL: ""Dokument moze pochodzic z EPU / e-Sadu, a z podanych dat wynika, ze termin juz uplynal. Postepowanie elektroniczne ma wlasne zasady - tym pilniej warto sprawdzic, jakie kroki sa jeszcze dostepne."" (04.08.2026, jw.)";TAK
HR07;EPU = TAK AND K2 = K2_DAYS_LEFT_4_7;RISK_HIGH;TAK;Dokument może pochodzić z EPU / e-Sądu, a czas na reakcję jest ograniczony. Warto szybko potwierdzić termin, pouczenie i właściwy tryb reakcji.;EPU z krótkim terminem wymaga szybkiej weryfikacji.;TAK
HR08;K4 = K4_BOARD_UNKNOWN AND K5 = K5_KRS_UNKNOWN;;TAK;Nie ma pewności co do statusu w zarządzie ani aktualności wpisu w KRS. Warto szybko uporządkować te informacje, żeby nie oprzeć decyzji na błędnych założeniach.;Niepewność statusu zarządu i wpisu KRS powinna być wyraźnie pokazana użytkownikowi.;TAK
HR09;K4 = K4_BOARD_RESIGNED AND K5 = K5_KRS_NOT_UPDATED;;TAK;Wskazano rezygnację albo odwołanie, ale wpis w KRS może być nieaktualny. Trzeba porównać dokument źródłowy, datę skuteczności i aktualny odpis KRS.;Brak aktualizacji wpisu może wymagać uporządkowania dokumentów.;TAK
HR10;OCR_JAKOSC = NISKA AND (ADRESAT_NIEUSTALONY = TAK OR TERMIN_NIEUSTALONY = TAK);;TAK;Jakość odczytu dokumentu jest niepewna. Dane powinny zostać zweryfikowane ręcznie przed wyciągnięciem wniosków.;Kalkulator nie powinien udawać pewności przy słabym odczycie. || PRIORYTET (04.08.2026): HR10 i HR11 to ostrzezenia o WIARYGODNOSCI danych i musza dotrzec do klienta ZAWSZE. text_builder pokazywal wczesniej tylko 2 pierwsze ostrzezenia, a HR10 jest dopisywane na koncu listy - przy krotkim terminie klient nigdy go nie widzial. Teraz sa wyciagane przed pozostale.;TAK (od etapu 2 OCR)
