dokument nieustalony;
obszar;zasada / treść
Cel zmiany;Wariant „Inny dokument / nie mam pewności” nie jest traktowany jako rodzaj dokumentu, ale jako brak pewności co do kwalifikacji pisma.
Reguła główna;Jeżeli K1 = K1_INNE_NIE_WIEM, wynik użytkownika powinien najpierw wskazywać konieczność identyfikacji dokumentu.
Czego nie pisać;Nie pisać: „Dokumentem wymagającym reakcji jest Inny dokument / nie mam pewności”.
Czego nie pisać;Nie stosować automatycznie tekstów właściwych dla pozwu, nakazu, wezwania, EPU, spółki albo członka zarządu.
Priorytet;Najpierw ustalić, czy pismo jest pozwem, nakazem zapłaty, wezwaniem sądowym, pismem z e-Sądu, pismem komorniczym albo innym dokumentem.
Termin;Termin jest ważny, ale przy nierozpoznanym dokumencie nie może być jedynym ani pierwszym priorytetem. Najpierw trzeba sprawdzić rodzaj pisma i pouczenie.
Kwota;Jeżeli kwota nie jest znana, wskazać, że ogranicza to pewność oceny. Jeżeli kwota jest wysoka, podkreślić, że tym bardziej trzeba rozpoznać dokument.
KRS / status zarządu;Informacje o statusie w zarządzie i KRS mogą mieć znaczenie, ale dopiero po ustaleniu rodzaju pisma i skutków procesowych.
Rekomendowany kierunek;Audyt 48h ma w takim wariancie przede wszystkim zidentyfikować dokument, sprawdzić daty, terminy i ustalić, czy sprawa wymaga pilnej reakcji.
