nr;priorytet;temat;dane do kalkulatora;co powinien pokazać wynik;czego NIE wolno w wyniku;uwagi
T01;ODŁOŻONY – poza MVP;Wiele dokumentów;Pozew przeciwko spółce + pozew przeciwko członkowi zarządu;Wynik mówi, który dokument wymaga reakcji i jakie dokumenty są pomocnicze;Nazwy reguł wyboru dokumentu;Wielodokumentowość nie jest zaimplementowana w app.py (MVP). Odłożyć do kolejnego etapu. | Scenariusz: Dokument główny: pozew przeciwko członkowi zarządu
T02;ODŁOŻONY – poza MVP;Wiele dokumentów;Nakaz przeciwko spółce + nakaz przeciwko członkowi zarządu;Wynik wskazuje nakaz jako dokument wymagający reakcji;Punktacja wyboru dokumentu;Wielodokumentowość nie jest zaimplementowana w app.py (MVP). Odłożyć do kolejnego etapu. | Scenariusz: Dokument główny: nakaz przeciwko członkowi zarządu
T03;DO TESTU;EPU;Nakaz EPU + pouczenie + potwierdzenie doręczenia;Wynik wyjaśnia, że sprawa pochodzi z EPU/e-Sądu;EPU jako kod techniczny bez wyjaśnienia;"Scenariusz: Typ EPU zgodny z adresatem; dołącz Blok_EPU"
T04;DO TESTU;Termin konkretny;Data doręczenia + termin z pouczenia dają 5 dni;Wynik mówi konkretnie, że zostało ok. 5 dni;Ogólnik „około 4–7 dni”, gdy znane jest 5 dni;Scenariusz: K2 technicznie może być 4–7 dni
T05;DO TESTU;Twarde reguły;Krótki termin albo termin niepewny;Użytkownik widzi nietechniczne ostrzeżenie o konieczności potwierdzenia terminu;HR01, HR02, HR04 itp.;Scenariusz: Poziom ryzyka może zostać podniesiony
T06;DO TESTU;Brak dokumentów;Użytkownik chce tylko wstępną ocenę bez dokumentów;Wynik jasno mówi, że ocena jest ograniczona bez dokumentów;Kod K3;"Scenariusz: Scenariusz bazowy po K1/K2/ryzyku; Moduły: K3_SUPPORT_BASIC_NO_DOCS"
T07;DO TESTU;Dokumenty później;Użytkownik chce ocenę teraz i dosłanie dokumentów później;Wynik wskazuje, jakie dokumenty trzeba później uzupełnić;Kod K3;"Scenariusz: Scenariusz bazowy po K1/K2/ryzyku; Moduły: K3_SUPPORT_NOW_DOCS_LATER"
T08;DO TESTU;Gotowość do audytu;Użytkownik gotowy wysłać dokumenty;Wynik kieruje do listy dokumentów do Audytu 48h;Kod K3;"Scenariusz: Scenariusz bazowy po K1/K2/ryzyku; Moduły: K3_READY_FOR_AUDIT_48H"
T09;DO TESTU;Status zarządu aktywny;K4 = nadal pełnię funkcję;Wynik mówi o potrzebie sprawdzenia aktualnego statusu i adresata pisma;BOARD_ACTIVE;"Scenariusz: Scenariusz bazowy nie musi mieć K4; Moduły: MOD_K4_BOARD_ACTIVE"
T10;KLUCZOWY;Status zarządu rezygnacja;K4 = rezygnacja/odwołanie;Wynik mówi o rezygnacji/odwołaniu i dacie skuteczności;Informacja, że użytkownik nadal pełni funkcję;"To test problemu ze SCN_002. | Scenariusz: Scenariusz bazowy nie może nadpisać tego statusem aktywnym; Moduły: MOD_K4_BOARD_RESIGNED + właściwy K5"
T11;KLUCZOWY;KRS nieznany;K4=rezygnacja, K5=nie wiem;Wynik zaleca sprawdzenie dokumentu rezygnacji/odwołania i aktualnego odpisu KRS;K5_KRS_UNKNOWN;"Scenariusz: Scenariusz bazowy po K1/K2/ryzyku; Moduły: MOD_K4_BOARD_RESIGNED + MOD_K5_KRS_UNKNOWN"
T12;KLUCZOWY;Cel: zyskać czas;K6 = zyskać czas na przygotowanie obrony;Wynik mówi o legalnych środkach procesowych i przygotowaniu obrony, a nie o terminie na reakcję;Sugestia nadużycia prawa lub działań instrumentalnych;"Rozróżnić od realnej oceny obrony. | Scenariusz: Scenariusz bazowy po K1/K2/ryzyku; Moduły: MOD_K6_GOAL_BUY_TIME"
T13;DO TESTU;Cel: ocena podstaw obrony;K6 = ocenić realne podstawy obrony;Wynik koncentruje się na dokumentach, podstawie roszczenia, terminach i możliwych zarzutach;Kod K6;"Scenariusz: Scenariusz bazowy po K1/K2/ryzyku; Moduły: MOD_K6_GOAL_DEFENSE"
T14;DO TESTU;Cel: pismo procesowe;K6 = przygotować odpowiednie pismo procesowe;Wynik wskazuje, że rodzaj pisma zależy od dokumentu: sprzeciw przy nakazie, odpowiedź przy pozwie;Kod K6;"Nowa opcja K6. | Scenariusz: Scenariusz bazowy po K1/K2/ryzyku; Moduły: MOD_K6_GOAL_PROCEDURAL_LETTER"
T15;DO TESTU;Cel: plan + ocena szans;K6 = plan działania i ocena szans;Wynik wskazuje potrzebę uporządkowania planu działania i oceny szans;Kod K6;"Scenariusz: Scenariusz bazowy po K1/K2/ryzyku; Moduły: MOD_K6_GOAL_PLAN"
T16;DO TESTU;Cel niepewny;K6 = nie wiem / uporządkowanie sytuacji;Wynik pomaga uporządkować możliwe kierunki działania;Kod K6;"Scenariusz: Scenariusz bazowy po K1/K2/ryzyku; Moduły: MOD_K6_GOAL_UNKNOWN"
T31;DO TESTU;Model bazowy + moduły;Nakaz przeciwko członkowi zarządu, 8–14 dni;Wynik podkreśla znaczenie terminu i treści pouczenia;SCN_xxx w wyniku użytkownika;"Scenariusz: Scenariusz bazowy dla nakazu i terminu; Moduły: Z formularza"
T32;DO TESTU;EPU pilny;Nakaz EPU przeciwko członkowi zarządu, 0–3 dni;Wynik pilny + blok EPU + ostrzeżenie o terminie;HRxx, RISK_URGENT;"Scenariusz: Scenariusz bazowy EPU + RISK_URGENT; Moduły: Z formularza"
T33;DO TESTU;Pozew spółka — brak EPU;K1=K1_POZEW_SPOLKA — sprawdzić, że checkbox EPU jest wyłączony (szary) i epu=False;"Wynik standardowy dla POZEW_SPOLKA; nie myli pozwu z nakazem i spółki z członkiem zarządu";"EPU_POZEW_SPOLKA jako typ; blok EPU w wyniku; wewnętrzny typ EPU";"EPU jest niedostępne dla K1_POZEW_SPOLKA — checkbox jest wyłączony przez UI. Scenariusze EPU_POZEW_SPOLKA celowo nieosiągalne. | Scenariusz: Typ POZEW_SPOLKA (nie EPU_POZEW_SPOLKA) — EPU_COMPATIBLE[K1_POZEW_SPOLKA]=NIE wymusza epu=False; Moduły: Z formularza"
T34;DO TESTU;Dokument nieustalony;Niejasny dokument, termin nieznany;Wynik ostrożny, wskazuje potrzebę identyfikacji dokumentu i terminu;komunikaty techniczne fallback;"Scenariusz: Scenariusz bazowy dokument nieustalony albo fallback; Moduły: Z formularza"
T35;KLUCZOWY;SCN_002 problem;K1=K1_NAKAZ_CZLONEK_ZARZADU, K2=K2_DAYS_LEFT_4_7, K3=K3_SUPPORT_BASIC_NO_DOCS, K4=K4_BOARD_RESIGNED, K5=K5_KRS_UNKNOWN, K6=K6_GOAL_BUY_TIME, K7=K7_AMOUNT_10K_50K, EPU=NIE;Wynik NIE zawiera informacji, że użytkownik nadal pełni funkcję;"BOARD_ACTIVE; 'nadal pełni funkcję' przy K4=resigned";"Test ze zrzutu użytkownika. | Scenariusz: Może wybrać bazę odpowiadającą K1/K2/ryzyku, ale wynik musi wynikać z modułów K4–K6; Moduły: K4 rezygnacja + K5 nie wiem + K6 kupić czas"
T36;KLUCZOWY;Prywatność i technika;Dowolny przypadek;Wynik użytkownika bez techniki;risk_level_code, HRxx, K3/K4/K5/K6 codes, moduły, dynamicznie;Scenariusz: Panel testowy może pokazać technikę
T37;KLUCZOWY;Pismo ZUS / urząd — krótki termin;K1=K1_ORGAN_PUBLICZNY_CZLONEK_ZARZADU, K2=K2_DAYS_LEFT_0_3, K3=K3_SUPPORT_BASIC_NO_DOCS, K4=K4_BOARD_ACTIVE, K5=K5_NOT_APPLICABLE, K6=K6_GOAL_DEFENSE, K7=K7_AMOUNT_10K_50K, EPU=NIE;"Lead: ""Na pismo z ZUS lub urzędu skarbowego masz X dni""; treść mówi o piśmie ZUS; CTA o wyjaśnieniach — nie sprzeciwie";"""bez ustalenia rodzaju pisma""; ""sprzeciw""; ""odpowiedź na pozew""; kody techniczne";"Scenariusz: BASE_173 (RISK_URGENT); Moduły: K3, K4_BOARD_ACTIVE, zus_note (nie urgency_note)"
T38;KLUCZOWY;Pismo ZUS — 14 dni, RISK_URGENT przez ciężar dokumentu;K1=K1_ORGAN_PUBLICZNY_CZLONEK_ZARZADU, K2=K2_DAYS_LEFT_8_14 (use_dates=TAK, znana data), K3=K3_SUPPORT_BASIC_NO_DOCS, K4=K4_BOARD_ACTIVE, K5=K5_NOT_APPLICABLE, K6=K6_GOAL_DEFENSE, K7=K7_AMOUNT_10K_50K, EPU=NIE;"""wysoki ciężar prawny — niezależnie od długości terminu""; wynik NIE mówi że czas wskazuje na pilność";"""bez ustalenia rodzaju pisma""; ""czas na reakcję wskazuje na podwyższoną pilność""; ""sprzeciw""";"Weryfikuje poprawność BASE_186 — główny błąd zgłoszony przez użytkownika. | Scenariusz: BASE_186 (RISK_URGENT — C=3+P=1+H=3+W=1=8); Moduły: K3, K4_BOARD_ACTIVE, zus_note"
T39;DO TESTU;Pismo ZUS — nieznany termin;K1=K1_ORGAN_PUBLICZNY_CZLONEK_ZARZADU, K2=K2_DAYS_LEFT_UNKNOWN, K3=K3_SUPPORT_BASIC_NO_DOCS, K4=K4_BOARD_ACTIVE, K5=K5_NOT_APPLICABLE, K6=K6_GOAL_DEFENSE, K7=K7_AMOUNT_10K_50K, EPU=NIE;"Mówi o piśmie ZUS; zaleca potwierdzenie terminu z pouczenia; NIE zawiera ""bez ustalenia rodzaju pisma""";"""bez ustalenia rodzaju pisma""; ""sprzeciw""; kody techniczne";"Scenariusz: BASE_188 (RISK_URGENT) lub BASE_184 (RISK_HIGH) — zależnie od S z K2A; Moduły: K3, K4_BOARD_ACTIVE, zus_note"
T40;KLUCZOWY;"Inne/nie wiem + wiele opcji ""nie wiem"" — RISK_URGENT";K1=K1_INNE_NIE_WIEM, K2=K2_DAYS_LEFT_UNKNOWN, K3=K3_SUPPORT_BASIC_NO_DOCS, K4=K4_BOARD_UNKNOWN, K5=K5_KRS_UNKNOWN, K6=K6_GOAL_UNKNOWN, K7=K7_AMOUNT_UNKNOWN, EPU=NIE;"""pilna ze względu na wysoką niepewność""; wynik NIE mówi że czas wskazuje na pilność";"""Czas na reakcję wskazuje na podwyższoną pilność""; kody techniczne";"Weryfikuje poprawność BASE_026 po naprawie tekstu. | Scenariusz: BASE_026 (K2_UNKNOWN + RISK_URGENT); Moduły: K3, K4_BOARD_UNKNOWN, K5_KRS_UNKNOWN, K6_GOAL_UNKNOWN, unknown_doc_note"
