Punktacja formularza;;;;;;;
answer_code_AI;answer_label_user;category;points_C;points_P;points_H;uwagi_dla_AI;points_W
K1_POZEW_SPOLKA;Pozew (spółka);K1_document_weight;1;0;0;Dokument przeciwko spółce jest ważny, ale zwykle mniej pilny dla osobistej odpowiedzialności członka zarządu niż dokument skierowany bezpośrednio do członka zarządu.;0
K1_POZEW_CZLONEK_ZARZADU;Pozew (członek zarządu);K1_document_weight;3;0;0;Dokument bezpośrednio przeciwko członkowi zarządu ma wysoki ciężar gatunkowy.;0
K1_NAKAZ_SPOLKA;Nakaz zapłaty (spółka);K1_document_weight;2;0;0;Nakaz przeciwko spółce może mieć znaczenie dla późniejszej odpowiedzialności z art. 299 KSH, ale nie jest tak pilny jak nakaz przeciwko członkowi zarządu.;0
K1_NAKAZ_CZLONEK_ZARZADU;Nakaz zapłaty (członek zarządu);K1_document_weight;3;0;0;Jeden z najwyższych ciężarów gatunkowych, zwłaszcza gdy biegnie termin na sprzeciw albo zarzuty.;0
K1_WEZWANIE_SADOWE_SPOLKA;Wezwanie sądowe (spółka);K1_document_weight;1;0;0;Ważne jako dokument procesowy, ale zwykle niżej niż dokument skierowany do członka zarządu.;0
K1_WEZWANIE_SADOWE_CZLONEK_ZARZADU;Wezwanie sądowe (członek zarządu);K1_document_weight;2;0;0;Dokument skierowany bezpośrednio do członka zarządu, często wymagający reakcji.;0
K1_ORGAN_PUBLICZNY_CZLONEK_ZARZADU;Pismo z ZUS / urzędu dotyczące odpowiedzialności członka zarządu;K1_document_weight;3;0;0;"Pismo organu publicznego dotyczące możliwej osobistej odpowiedzialności członka zarządu ma wysoki ciężar gatunkowy i odrębną ścieżkę oceny; nie traktować jak pozew ani nakaz zapłaty.";0
K1_INNE_NIE_WIEM;Inne / nie wiem;K1_document_weight;1;0;0;Niepewność co do rodzaju dokumentu powinna zwiększyć ostrożność, ale nie przesądza wysokiego ciężaru dokumentu.;0
K2_DAYS_LEFT_0_3;0–3 dni kalendarzowe;K2_urgency;0;3;0;Najwyższa pilność. Bardzo krótki czas na reakcję.;0
K2_DAYS_LEFT_4_7;4–7 dni kalendarzowych;K2_urgency;0;2;0;Wysoka pilność. Jest jeszcze czas, ale sprawa wymaga szybkiego działania.;0
K2_DAYS_LEFT_8_14;8–14 dni kalendarzowych;K2_urgency;0;1;0;Umiarkowana pilność. Termin wymaga kontroli, ale nie jest jeszcze krytyczny.;0
K2_DAYS_LEFT_ABOVE_14;Ponad 14 dni kalendarzowych;K2_urgency;0;0;0;Niska pilność czasowa, choć ryzyko może wynikać z rodzaju dokumentu.;0
K2_DAYS_LEFT_UNKNOWN;Nie wiem / nie udało się ustalić;K2_urgency;0;1;1;Brak wiedzy o terminie jest ryzykiem samym w sobie. Dlatego przyznajemy 1 punkt za pilność i 1 punkt za niepewność.;0
K2A_DELIVERY_DATE_KNOWN;Tak, znam datę doręczenia;K2A_auxiliary;0;0;0;Dane pomocnicze. Nie punktować samodzielnie. Służy do obliczenia K2.;0
K2A_DELIVERY_DATE_UNKNOWN;Nie znam daty doręczenia;K2A_auxiliary;0;0;1;Brak daty doręczenia zwiększa niepewność.;0
K3_SUPPORT_BASIC_NO_DOCS;Tylko wstępna ocena bez wysyłki dokumentów;K3_support_needed;0;0;2;Ocena bez pełnych dokumentów jest bardziej niepewna.;0
